,T,Y,PARTYID7,IDEO,RELIG,ATTEND,SURV_MODE,SURV_LANG,GENDER,AGE,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE
854,1.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,61.0,1.0,5.0,2.0,1.0,14.0,3.0,1.0,1.0,1.0,3.0,4.0
855,0.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,63.0,1.0,2.0,1.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,2.0
856,1.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,26.0,4.0,4.0,5.0,4.0,6.0,8.0,1.0,1.0,2.0,3.0,4.0
857,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,53.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,2.0
858,0.0,3.0,7.0,4.0,12.0,1.0,2.0,1.0,1.0,37.0,1.0,3.0,1.0,1.0,9.0,4.0,1.0,1.0,2.0,2.0,5.0
859,0.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,34.0,4.0,3.0,5.0,1.0,5.0,9.0,1.0,1.0,2.0,2.0,4.0
860,0.0,1.0,7.0,4.0,2.0,4.0,2.0,1.0,2.0,73.0,1.0,3.0,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,3.0
861,1.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,26.0,1.0,4.0,5.0,4.0,3.0,9.0,1.0,1.0,2.0,3.0,4.0
862,1.0,3.0,6.0,2.0,12.0,2.0,2.0,1.0,2.0,43.0,4.0,1.0,3.0,1.0,7.0,9.0,1.0,1.0,2.0,1.0,4.0
863,0.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,2.0,71.0,1.0,3.0,1.0,5.0,18.0,5.0,1.0,1.0,1.0,2.0,3.0
864,1.0,4.0,1.0,2.0,1.0,7.0,2.0,1.0,2.0,72.0,5.0,3.0,5.0,5.0,9.0,5.0,1.0,1.0,2.0,3.0,4.0
865,1.0,3.0,2.0,3.0,11.0,1.0,2.0,1.0,1.0,31.0,1.0,2.0,1.0,3.0,5.0,5.0,0.0,1.0,2.0,2.0,5.0
866,0.0,1.0,2.0,1.0,4.0,8.0,2.0,1.0,1.0,34.0,2.0,4.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,4.0
867,0.0,3.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,67.0,1.0,5.0,3.0,3.0,13.0,2.0,1.0,1.0,1.0,2.0,3.0
868,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,26.0,4.0,3.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,3.0,4.0
869,0.0,1.0,6.0,4.0,12.0,1.0,2.0,1.0,1.0,55.0,1.0,3.0,3.0,6.0,11.0,5.0,1.0,1.0,2.0,3.0,4.0
870,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,33.0,1.0,5.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,3.0,4.0
871,1.0,3.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,46.0,4.0,3.0,1.0,1.0,11.0,5.0,1.0,1.0,1.0,3.0,4.0
872,1.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,60.0,1.0,5.0,1.0,5.0,13.0,3.0,0.0,1.0,1.0,1.0,4.0
873,1.0,3.0,2.0,3.0,1.0,5.0,2.0,1.0,2.0,39.0,2.0,3.0,1.0,1.0,9.0,5.0,1.0,1.0,2.0,4.0,4.0
874,0.0,3.0,2.0,3.0,1.0,7.0,2.0,1.0,2.0,74.0,1.0,3.0,4.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,4.0
875,1.0,4.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,58.0,1.0,5.0,3.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0
876,0.0,1.0,5.0,4.0,9.0,2.0,2.0,1.0,1.0,49.0,1.0,5.0,1.0,2.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0
877,0.0,4.0,3.0,1.0,11.0,1.0,2.0,1.0,2.0,30.0,1.0,3.0,6.0,1.0,17.0,9.0,1.0,1.0,1.0,1.0,4.0
878,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,66.0,4.0,4.0,1.0,1.0,4.0,9.0,1.0,1.0,2.0,3.0,4.0
879,0.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,1.0,67.0,1.0,3.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,5.0,4.0
880,0.0,3.0,7.0,5.0,1.0,2.0,2.0,1.0,2.0,24.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,1.0,2.0,4.0,4.0
881,1.0,2.0,6.0,3.0,1.0,4.0,2.0,1.0,2.0,48.0,1.0,4.0,1.0,1.0,15.0,7.0,0.0,1.0,1.0,1.0,4.0
882,0.0,3.0,1.0,3.0,12.0,2.0,2.0,1.0,1.0,47.0,2.0,3.0,1.0,1.0,11.0,5.0,0.0,1.0,1.0,1.0,4.0
883,1.0,2.0,7.0,5.0,12.0,1.0,2.0,1.0,2.0,36.0,1.0,3.0,1.0,1.0,8.0,4.0,1.0,0.0,2.0,1.0,4.0
884,1.0,4.0,2.0,2.0,2.0,6.0,2.0,1.0,2.0,24.0,1.0,3.0,5.0,1.0,2.0,9.0,1.0,1.0,2.0,3.0,2.0
885,0.0,2.0,1.0,3.0,2.0,8.0,2.0,1.0,1.0,78.0,1.0,2.0,1.0,5.0,10.0,5.0,1.0,1.0,1.0,1.0,3.0
886,0.0,4.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,38.0,1.0,5.0,1.0,1.0,14.0,3.0,1.0,0.0,1.0,2.0,4.0
887,1.0,1.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,75.0,1.0,3.0,1.0,5.0,9.0,6.0,0.0,1.0,1.0,1.0,4.0
888,0.0,3.0,4.0,3.0,8.0,5.0,2.0,1.0,2.0,30.0,6.0,4.0,1.0,1.0,10.0,8.0,1.0,1.0,2.0,3.0,4.0
889,1.0,3.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,29.0,4.0,3.0,1.0,1.0,10.0,7.0,1.0,1.0,1.0,1.0,4.0
890,0.0,2.0,2.0,3.0,1.0,8.0,2.0,1.0,1.0,42.0,1.0,4.0,1.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,4.0
891,0.0,3.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,34.0,2.0,3.0,5.0,1.0,13.0,2.0,1.0,1.0,2.0,3.0,4.0
892,0.0,2.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,62.0,1.0,5.0,1.0,5.0,12.0,4.0,1.0,1.0,1.0,3.0,4.0
893,0.0,2.0,4.0,3.0,1.0,7.0,2.0,1.0,1.0,24.0,2.0,3.0,5.0,1.0,7.0,4.0,1.0,0.0,1.0,1.0,2.0
894,0.0,3.0,4.0,3.0,6.0,8.0,2.0,1.0,2.0,58.0,2.0,4.0,5.0,4.0,3.0,8.0,1.0,1.0,2.0,3.0,4.0
895,1.0,3.0,2.0,4.0,12.0,6.0,2.0,1.0,1.0,34.0,1.0,3.0,1.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,4.0
896,0.0,1.0,7.0,4.0,1.0,7.0,2.0,1.0,2.0,64.0,1.0,3.0,1.0,1.0,11.0,4.0,1.0,1.0,1.0,1.0,3.0
897,1.0,1.0,6.0,3.0,10.0,2.0,2.0,1.0,1.0,44.0,4.0,3.0,1.0,1.0,11.0,6.0,0.0,1.0,1.0,1.0,4.0
898,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,60.0,1.0,4.0,3.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0
899,1.0,4.0,1.0,3.0,2.0,8.0,2.0,1.0,1.0,70.0,4.0,3.0,1.0,5.0,11.0,8.0,1.0,1.0,1.0,1.0,3.0
900,0.0,5.0,7.0,5.0,1.0,1.0,2.0,1.0,1.0,74.0,1.0,3.0,1.0,1.0,14.0,5.0,1.0,0.0,3.0,1.0,2.0
901,0.0,3.0,2.0,3.0,12.0,4.0,2.0,1.0,1.0,35.0,4.0,3.0,5.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0
902,0.0,3.0,6.0,4.0,2.0,4.0,2.0,1.0,2.0,67.0,1.0,3.0,1.0,5.0,7.0,7.0,1.0,1.0,1.0,1.0,3.0
903,1.0,1.0,7.0,5.0,1.0,9.0,2.0,1.0,1.0,72.0,1.0,3.0,1.0,3.0,7.0,3.0,0.0,1.0,1.0,1.0,3.0
904,1.0,1.0,5.0,3.0,12.0,1.0,2.0,1.0,2.0,22.0,1.0,3.0,5.0,7.0,6.0,5.0,1.0,1.0,1.0,3.0,4.0
905,0.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,64.0,1.0,2.0,1.0,6.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0
906,0.0,1.0,7.0,3.0,2.0,3.0,2.0,1.0,1.0,77.0,1.0,3.0,1.0,5.0,7.0,5.0,1.0,1.0,1.0,1.0,2.0
907,1.0,4.0,2.0,3.0,2.0,8.0,2.0,1.0,2.0,71.0,1.0,4.0,1.0,5.0,12.0,2.0,1.0,1.0,1.0,1.0,2.0
908,0.0,1.0,6.0,4.0,3.0,1.0,2.0,1.0,1.0,38.0,1.0,2.0,1.0,1.0,7.0,8.0,1.0,0.0,1.0,2.0,3.0
909,0.0,2.0,6.0,4.0,1.0,3.0,2.0,1.0,1.0,22.0,1.0,4.0,5.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,4.0
910,1.0,3.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,54.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0
911,0.0,4.0,1.0,2.0,11.0,3.0,2.0,1.0,2.0,50.0,1.0,4.0,6.0,1.0,14.0,3.0,1.0,1.0,1.0,1.0,4.0
912,0.0,1.0,3.0,2.0,10.0,1.0,2.0,1.0,1.0,57.0,1.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0
913,0.0,3.0,3.0,3.0,1.0,7.0,2.0,1.0,1.0,63.0,1.0,4.0,1.0,5.0,14.0,6.0,1.0,1.0,1.0,1.0,3.0
914,1.0,2.0,4.0,4.0,11.0,3.0,2.0,1.0,2.0,44.0,1.0,3.0,3.0,6.0,6.0,8.0,1.0,1.0,2.0,4.0,4.0
915,0.0,3.0,1.0,3.0,7.0,3.0,2.0,1.0,2.0,46.0,4.0,3.0,1.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,4.0
916,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,31.0,1.0,4.0,1.0,1.0,14.0,9.0,1.0,1.0,1.0,1.0,2.0
917,0.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,70.0,4.0,3.0,1.0,5.0,8.0,9.0,1.0,1.0,1.0,1.0,3.0
918,0.0,2.0,4.0,5.0,2.0,8.0,2.0,1.0,2.0,35.0,1.0,4.0,5.0,1.0,10.0,3.0,1.0,1.0,2.0,3.0,2.0
919,1.0,1.0,7.0,4.0,9.0,1.0,2.0,1.0,1.0,66.0,1.0,4.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,4.0
920,1.0,1.0,6.0,4.0,11.0,1.0,2.0,1.0,1.0,49.0,1.0,3.0,5.0,1.0,13.0,8.0,1.0,1.0,2.0,3.0,4.0
921,1.0,2.0,5.0,3.0,14.0,3.0,2.0,1.0,2.0,43.0,1.0,3.0,1.0,6.0,9.0,2.0,0.0,1.0,1.0,1.0,3.0
922,0.0,4.0,3.0,3.0,1.0,8.0,2.0,1.0,2.0,67.0,1.0,5.0,5.0,5.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0
923,0.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,76.0,1.0,2.0,4.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,2.0
924,0.0,3.0,3.0,3.0,12.0,2.0,2.0,1.0,2.0,49.0,1.0,3.0,1.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,4.0
925,0.0,3.0,1.0,2.0,11.0,1.0,2.0,1.0,1.0,57.0,1.0,3.0,2.0,5.0,7.0,4.0,0.0,0.0,1.0,4.0,4.0
926,1.0,2.0,3.0,3.0,3.0,7.0,2.0,1.0,2.0,73.0,1.0,5.0,2.0,5.0,16.0,9.0,1.0,1.0,1.0,1.0,3.0
927,0.0,2.0,2.0,4.0,1.0,9.0,2.0,1.0,2.0,73.0,2.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0
928,0.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,30.0,4.0,2.0,1.0,1.0,7.0,3.0,1.0,1.0,2.0,3.0,4.0
929,1.0,4.0,6.0,3.0,3.0,8.0,2.0,1.0,2.0,71.0,1.0,3.0,1.0,5.0,15.0,8.0,1.0,1.0,1.0,1.0,4.0
930,1.0,4.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,26.0,1.0,4.0,5.0,1.0,11.0,2.0,1.0,1.0,2.0,3.0,4.0
931,0.0,4.0,1.0,2.0,11.0,3.0,2.0,1.0,2.0,23.0,1.0,4.0,5.0,7.0,18.0,9.0,1.0,0.0,1.0,1.0,2.0
932,0.0,1.0,6.0,3.0,3.0,8.0,2.0,1.0,1.0,40.0,3.0,3.0,4.0,1.0,6.0,8.0,0.0,0.0,1.0,1.0,4.0
933,0.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,2.0,56.0,4.0,3.0,1.0,2.0,14.0,2.0,1.0,1.0,1.0,1.0,3.0
934,0.0,3.0,1.0,3.0,1.0,7.0,2.0,1.0,1.0,82.0,1.0,2.0,1.0,5.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0
935,0.0,1.0,5.0,5.0,14.0,9.0,2.0,1.0,1.0,40.0,1.0,4.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,4.0
936,1.0,2.0,4.0,3.0,12.0,4.0,2.0,1.0,1.0,59.0,1.0,4.0,4.0,1.0,11.0,9.0,1.0,1.0,1.0,1.0,4.0
937,0.0,2.0,7.0,4.0,1.0,7.0,2.0,1.0,1.0,55.0,1.0,3.0,3.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,2.0
938,1.0,4.0,4.0,2.0,10.0,3.0,2.0,1.0,1.0,36.0,2.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,2.0,3.0,4.0
939,0.0,2.0,1.0,3.0,12.0,8.0,2.0,1.0,2.0,66.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,0.0,2.0,3.0,4.0
940,0.0,1.0,3.0,2.0,10.0,1.0,2.0,1.0,1.0,49.0,4.0,3.0,5.0,1.0,11.0,5.0,1.0,1.0,2.0,3.0,4.0
941,1.0,1.0,7.0,5.0,2.0,8.0,2.0,1.0,1.0,43.0,1.0,3.0,1.0,2.0,11.0,8.0,0.0,1.0,1.0,1.0,4.0
942,1.0,5.0,3.0,2.0,11.0,1.0,2.0,1.0,1.0,40.0,4.0,3.0,1.0,1.0,13.0,8.0,1.0,1.0,1.0,1.0,4.0
943,0.0,2.0,4.0,2.0,11.0,1.0,2.0,1.0,2.0,34.0,4.0,1.0,4.0,1.0,18.0,8.0,1.0,1.0,1.0,1.0,4.0
944,1.0,4.0,1.0,1.0,9.0,2.0,2.0,1.0,1.0,34.0,1.0,5.0,5.0,1.0,9.0,4.0,1.0,1.0,2.0,3.0,4.0
945,0.0,1.0,7.0,5.0,1.0,8.0,2.0,1.0,1.0,68.0,1.0,3.0,3.0,5.0,6.0,7.0,1.0,1.0,1.0,1.0,4.0
946,1.0,2.0,3.0,3.0,14.0,8.0,2.0,1.0,2.0,36.0,1.0,4.0,5.0,1.0,6.0,8.0,1.0,1.0,1.0,3.0,4.0
947,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,64.0,1.0,4.0,1.0,5.0,15.0,8.0,1.0,1.0,2.0,2.0,4.0
948,1.0,1.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,21.0,1.0,3.0,5.0,1.0,13.0,9.0,1.0,1.0,2.0,1.0,4.0
949,1.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,30.0,1.0,3.0,1.0,1.0,9.0,3.0,0.0,1.0,1.0,1.0,4.0
950,0.0,1.0,7.0,3.0,2.0,2.0,2.0,1.0,2.0,39.0,1.0,4.0,5.0,1.0,10.0,2.0,1.0,1.0,1.0,3.0,4.0
951,1.0,5.0,6.0,3.0,14.0,7.0,2.0,1.0,1.0,32.0,1.0,3.0,6.0,1.0,14.0,9.0,1.0,1.0,2.0,3.0,4.0
952,1.0,3.0,2.0,3.0,12.0,7.0,2.0,1.0,2.0,35.0,2.0,5.0,1.0,1.0,18.0,5.0,1.0,1.0,1.0,1.0,4.0
953,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,72.0,1.0,2.0,1.0,5.0,6.0,3.0,0.0,1.0,1.0,1.0,3.0
954,0.0,2.0,5.0,5.0,12.0,7.0,2.0,1.0,2.0,56.0,1.0,3.0,4.0,1.0,6.0,5.0,0.0,1.0,3.0,2.0,4.0
955,0.0,2.0,3.0,2.0,2.0,8.0,2.0,1.0,2.0,73.0,1.0,3.0,3.0,2.0,12.0,2.0,1.0,1.0,1.0,3.0,4.0
956,1.0,2.0,4.0,3.0,7.0,1.0,2.0,1.0,1.0,33.0,5.0,3.0,5.0,1.0,9.0,9.0,1.0,1.0,2.0,3.0,5.0
957,0.0,2.0,7.0,5.0,2.0,8.0,2.0,1.0,1.0,39.0,1.0,4.0,5.0,1.0,9.0,8.0,1.0,1.0,1.0,2.0,4.0
958,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,62.0,1.0,3.0,5.0,1.0,5.0,2.0,1.0,0.0,3.0,2.0,4.0
959,1.0,4.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,36.0,1.0,4.0,1.0,1.0,18.0,3.0,1.0,1.0,1.0,1.0,4.0
960,1.0,2.0,4.0,3.0,11.0,1.0,2.0,1.0,2.0,33.0,1.0,3.0,4.0,1.0,7.0,7.0,0.0,1.0,2.0,1.0,4.0
961,1.0,2.0,1.0,2.0,1.0,8.0,2.0,1.0,2.0,65.0,4.0,5.0,2.0,1.0,11.0,5.0,1.0,1.0,1.0,1.0,3.0
962,1.0,2.0,6.0,3.0,11.0,1.0,2.0,1.0,1.0,57.0,1.0,2.0,1.0,2.0,15.0,8.0,0.0,1.0,1.0,1.0,2.0
963,1.0,3.0,4.0,-1.0,14.0,9.0,2.0,1.0,1.0,22.0,4.0,3.0,5.0,2.0,7.0,9.0,1.0,1.0,2.0,3.0,2.0
964,1.0,3.0,3.0,1.0,11.0,1.0,2.0,1.0,1.0,24.0,4.0,3.0,6.0,6.0,11.0,9.0,1.0,1.0,2.0,3.0,4.0
965,1.0,1.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,46.0,4.0,4.0,1.0,1.0,13.0,5.0,0.0,1.0,1.0,1.0,4.0
966,0.0,3.0,4.0,3.0,12.0,2.0,2.0,1.0,1.0,34.0,2.0,2.0,1.0,1.0,6.0,5.0,1.0,1.0,1.0,3.0,4.0
967,0.0,1.0,7.0,5.0,12.0,8.0,2.0,1.0,1.0,52.0,4.0,2.0,1.0,1.0,12.0,9.0,1.0,0.0,1.0,2.0,2.0
968,1.0,2.0,1.0,1.0,11.0,1.0,2.0,1.0,2.0,26.0,5.0,3.0,5.0,1.0,10.0,8.0,1.0,0.0,2.0,1.0,4.0
969,1.0,3.0,5.0,-1.0,12.0,3.0,2.0,1.0,2.0,25.0,1.0,1.0,6.0,4.0,3.0,2.0,0.0,1.0,2.0,2.0,4.0
970,0.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,58.0,1.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,3.0,3.0
971,0.0,2.0,4.0,3.0,12.0,1.0,2.0,1.0,2.0,27.0,2.0,2.0,5.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,4.0
972,1.0,3.0,4.0,5.0,9.0,3.0,2.0,1.0,1.0,70.0,1.0,3.0,1.0,5.0,6.0,9.0,0.0,1.0,2.0,1.0,2.0
973,0.0,1.0,7.0,4.0,1.0,5.0,2.0,1.0,1.0,45.0,1.0,2.0,5.0,6.0,2.0,5.0,1.0,0.0,3.0,1.0,2.0
974,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,24.0,4.0,2.0,5.0,1.0,5.0,9.0,1.0,1.0,2.0,3.0,4.0
975,0.0,2.0,2.0,3.0,12.0,2.0,2.0,1.0,1.0,40.0,1.0,2.0,1.0,3.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0
976,0.0,1.0,7.0,5.0,1.0,9.0,2.0,1.0,2.0,39.0,4.0,4.0,1.0,1.0,12.0,9.0,1.0,1.0,2.0,2.0,2.0
977,0.0,2.0,3.0,3.0,11.0,1.0,2.0,1.0,2.0,62.0,1.0,4.0,1.0,5.0,15.0,2.0,1.0,1.0,1.0,1.0,2.0
978,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,27.0,2.0,3.0,6.0,1.0,9.0,3.0,1.0,0.0,2.0,3.0,4.0
979,1.0,2.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,78.0,1.0,2.0,1.0,5.0,11.0,5.0,1.0,1.0,1.0,1.0,2.0
980,0.0,1.0,4.0,3.0,9.0,1.0,2.0,1.0,2.0,62.0,1.0,3.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0
981,0.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,66.0,2.0,3.0,3.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,2.0
982,1.0,5.0,7.0,5.0,1.0,4.0,2.0,1.0,1.0,68.0,1.0,3.0,4.0,5.0,7.0,1.0,0.0,1.0,2.0,1.0,4.0
983,0.0,2.0,1.0,2.0,14.0,1.0,2.0,1.0,2.0,60.0,4.0,3.0,3.0,2.0,9.0,2.0,1.0,1.0,3.0,2.0,4.0
984,1.0,2.0,6.0,4.0,1.0,3.0,2.0,1.0,2.0,38.0,1.0,4.0,1.0,1.0,14.0,3.0,0.0,1.0,1.0,1.0,4.0
985,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,65.0,1.0,3.0,1.0,5.0,10.0,3.0,1.0,1.0,1.0,1.0,2.0
986,1.0,1.0,7.0,4.0,2.0,4.0,2.0,1.0,2.0,70.0,1.0,4.0,2.0,5.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0
987,0.0,1.0,7.0,4.0,1.0,6.0,2.0,1.0,1.0,44.0,1.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0
988,0.0,3.0,7.0,3.0,12.0,3.0,2.0,1.0,2.0,45.0,1.0,3.0,1.0,1.0,13.0,8.0,1.0,1.0,1.0,1.0,4.0
989,0.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,33.0,2.0,3.0,6.0,7.0,7.0,7.0,1.0,1.0,2.0,3.0,4.0
990,1.0,2.0,5.0,4.0,12.0,1.0,2.0,1.0,2.0,61.0,1.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,4.0
991,1.0,3.0,2.0,2.0,12.0,4.0,2.0,1.0,2.0,32.0,2.0,3.0,5.0,1.0,8.0,5.0,0.0,0.0,2.0,3.0,4.0
992,1.0,1.0,5.0,3.0,10.0,1.0,2.0,1.0,1.0,59.0,1.0,3.0,1.0,1.0,9.0,3.0,1.0,1.0,1.0,1.0,2.0
993,1.0,4.0,2.0,3.0,1.0,8.0,2.0,1.0,2.0,60.0,1.0,3.0,1.0,4.0,10.0,4.0,1.0,1.0,1.0,1.0,4.0
994,0.0,2.0,4.0,3.0,7.0,2.0,2.0,1.0,2.0,65.0,1.0,3.0,6.0,2.0,10.0,7.0,1.0,1.0,1.0,1.0,4.0
995,1.0,4.0,2.0,3.0,1.0,8.0,2.0,1.0,2.0,45.0,2.0,3.0,3.0,6.0,13.0,3.0,1.0,0.0,1.0,1.0,4.0
996,1.0,1.0,2.0,4.0,5.0,3.0,2.0,1.0,2.0,76.0,1.0,3.0,1.0,5.0,13.0,5.0,1.0,1.0,1.0,3.0,2.0
997,0.0,1.0,6.0,4.0,3.0,8.0,2.0,1.0,2.0,62.0,4.0,4.0,1.0,5.0,11.0,7.0,1.0,1.0,1.0,3.0,4.0
